Model,MAE,RMSE,R2,Score
RandomForest,3.7349905349999912,6.067950171348924,0.999929309925961,0.9018999028624718
XGBoost,10.572137734862329,14.847190662726334,0.9995767831053879,0.7453834991295013
SVM,351.9270288398165,473.71947808721416,0.5691591151193482,-7.687305954150958
