Model,MAE,RMSE,R2
Linear,166.01815572257624,217.10111996255054,0.9095104241301696
DecisionTree,5.9475955,10.160411036715,0.9998018030440156
KNN,168.38200460000002,264.63709499124195,0.8655453377973624
