Model,MAE,RMSE,R2,MAE_rank,RMSE_rank,R2_rank
RandomForest,3.7349905349999912,6.067950171348924,0.999929309925961,1.0,1.0,1.0
XGBoost,10.572137734862329,14.847190662726334,0.9995767831053879,2.0,2.0,2.0
SVM,351.9270288398165,473.71947808721416,0.5691591151193482,3.0,3.0,3.0
